sport ;epreuve;session;lieu;date;horaire_debut;horaire_fin
Athletisme;800 m - femmes, 1er tour Relais 4 x 400 m - mixte, 1er tour Triple saut - femmes, qualifications Lancer de disque - femmes, qualifications Lancer de poids - hommes, qualifications D‚cathlon - saut en hauteur, hommes D‚cathlon - 400 m, hommes 10 000 m - hommes, finale;ATH03;Stade de France;02/05/2024;19:00:00;22:00:00
Athletisme;100 m - hommes, tour pr‚liminaire 100 m - hommes, 1er tour 800 m - femmes, R D‚cathlon - 110 m haies, hommes D‚cathlon - lancer de disque, hommes D‚cathlon - saut … la perche, hommes;ATH04;Stade de France;03/05/2024;10:00:00;16:00:00
Athletisme;5 000 m - femmes, 1er tour 1 500 m - hommes, R Saut … la perche - hommes, qualifications 100 m - femmes, demi-finales D‚cathlon - lancer de javelot, hommes 100 m - femmes, finale Triple saut - femmes, finale D‚cathlon - 1 500 m, hommes Lancer de poids - hommes, finale Relais 4 x 400 m - mixte, finale;ATH05;Stade de France;03/05/2024;19:00:00;22:00:00
Athletisme;200 m - femmes, 1er tour 1 500 m - femmes, 1er tour 400 m haies - femmes, 1er tour 110 m haies - hommes, 1er tour Lancer de marteau - femmes, qualifications Saut en longueur - hommes, qualifications;ATH06;Stade de France;04/05/2024;10:00:00;13:00:00
Athletisme;400 m - hommes, 1er tour 800 m - femmes, demi-finales 100 m - hommes, demi-finales 1 500 m - hommes, demi-finales Saut en hauteur - femmes, finale 100 m - hommes, finale Lancer de marteau - hommes, finale;ATH07;Stade de France;04/05/2024;19:00:00;22:00:00
Athletisme;400 m - femmes, 1er tour 400 m haies - hommes, 1er tour 200 m - femmes, R 400 m haies - femmes, R 400 m - hommes, R Saut … la perche - femmes, qualifications Lancer de disque - hommes, qualifications;ATH08;Stade de France;05/05/2024;10:00:00;13:00:00
Athletisme;200 m - hommes, 1er tour 3 000 m steeple - hommes, 1er tour 200 m - femmes, demi-finales 800 m - femmes, finale Lancer de disque - femmes, finale Saut … la perche - hommes, finale;ATH09;Stade de France;05/05/2024;19:00:00;22:00:00
Athletisme;3 000 m steeple - femmes, 1er tour 400 m - femmes, R 110 m haies - hommes, R 400 m haies - hommes, R 200 m - hommes, R Saut en longueur - femmes, qualifications Lancer de javelot - hommes, qualifications;ATH10;Stade de France;06/05/2024;10:00:00;13:00:00
Athletisme;400 m haies - femmes, demi-finales 400 m - hommes, demi-finales 200 m - femmes, finale 5 000 m - femmes, finale Lancer de marteau - femmes, finale 1 500 m - hommes, finale Saut en longueur - hommes, finale;ATH11;Stade de France;06/05/2024;19:00:00;22:00:00
Athletisme;35 km marche mixte par ‚quipe, finale;ATH12;Pont Iena;07/05/2024;07:30:00;11:00:00
Athletisme;100 m haies - femmes, 1er tour 800 m - hommes, 1er tour 5 000 m - hommes, 1er tour 1 500 m - femmes, R Lancer de javelot - femmes, qualifications Saut en hauteur - hommes, qualifications;ATH13;Stade de France;07/05/2024;10:00:00;13:30:00
Athletisme;Triple saut - hommes, qualifications 400 m - femmes, demi-finales 200 m - hommes, demi-finales 110 m haies - hommes, demi-finales 400 m haies - hommes, demi-finales Saut … la perche - femmes, finale 400 m - hommes, finale 3 000 m steeple - hommes, finale Lancer de disque - hommes, finale;ATH14;Stade de France;07/05/2024;19:00:00;22:00:00
Athletisme;Relais 4 x 100 m - femmes, 1er tour Relais 4 x 100 m - hommes, 1er tour 100 m haies - femmes, R 800 m - hommes, R Lancer de poids - femmes, qualifications Heptathlon - 100 m haies, femmes Heptathlon - saut en hauteur, femmes;ATH15;Stade de France;08/05/2024;10:00:00;13:00:00
Athletisme;1 500 m - femmes, demi-finales Heptathlon - lancer de poids, femmes Heptathlon - 200 m, femmes 400 m haies - femmes, finale 3 000 m steeple - femmes, finale Saut en longueur - femmes, finale 200 m - hommes, finale 400 m - hommes, finale 110 m haies - hommes, finale Saut en longueur - femmes, finale 200 m - hommes, finale 400 m - hommes, finale 110 m haies - hommes, finale;ATH16;Stade de France;08/05/2024;19:00:00;22:00:00
Athletisme;Relais 4 x 400 m - femmes, 1er tour Relais 4 x 400 m - hommes, 1er tour 100 m haies - femmes, demi-finales 800 m - hommes, demi-finales Relais 4 x 400 m - hommes, 1er tour 100 m haies - femmes, demi-finales 800 m - hommes, demi-finales;ATH17;Stade de France;09/05/2024;10:00:00;13:00:00
Athletisme;400 m - femmes, finale 10 000 m - femmes, finale Heptathlon - 800 m, femmes Relais 4 x 100 m - femmes, finale Lancer de poids - femmes, finale 400 m - femmes, finale 10 000 m - femmes, finale Heptathlon - 800 m, femmes Relais 4 x 100 m - femmes, finale Lancer de poids - femmes, finale;ATH18;Stade de France;09/05/2024;19:00:00;22:00:00
Athletisme;1 500 m - femmes, finale 100 m haies - femmes, finale Relais 4 x 400 m - femmes, finale;ATH19;Hotel de Ville;10/05/2024;08:00:00;11:15:00
Athletisme;1 500 m - femmes, finale 100 m haies - femmes, finale Relais 4 x 400 m - femmes, finale 1 500 m - femmes, finale 100 m haies - femmes, finale Relais 4 x 400 m - femmes, finale 1 500 m - femmes, finale 100 m haies - femmes, finale Relais 4 x 400 m - femmes, finale;ATH20;Stade de France;10/05/2024;19:00:00;22:00:00
Athletisme;Marathon - femmes, finale;ATH21;Hotel de Ville;11/05/2024;08:00:00;11:30:00
